Skor M2 (Skills),Skor M5 (Compass),Skor M8 (Ambisi),Skor M9 (Resiliensi),Semester,IPK,Ekspektasi Gaji,Minat Wirausaha,Rencana S2/Sertifikasi,Frekuensi Belajar,Level Bahasa Inggris,Motivasi,Cognitive Style,Work Style,Kultur Kerja,Ukuran Perusahaan,Persentase Mahasiswa
6.91,7.95,4.88,5.43,2.8,3.48,1.85,3.16,1.82,1.83,1.51,money,analytical,small,formal,flex,31.75%
10.41,9.04,7.75,7.99,2.84,3.49,2.97,4.33,2.62,3.19,2.44,money,analytical,flex,collab,flex,22.13%
8.84,8.56,6.3,6.79,3.19,3.64,2.27,3.96,2.18,2.15,1.88,money,analytical,small,collab,flex,46.12%
